utc_iso,unix_t,range_km,fd_hz
01-Dec-2025 18:15:46,1764612946.59174,9220.0888913479,2923.55937070936
01-Dec-2025 18:15:47,1764612947.09174,9218.93986527143,2923.50024747607
01-Dec-2025 18:15:47,1764612947.59174,9217.79098120274,2923.44005158673
01-Dec-2025 18:15:48,1764612948.09174,9216.64205472493,2923.37877305385
01-Dec-2025 18:15:48,1764612948.59174,9215.49327112059,2923.31642137987
01-Dec-2025 18:15:49,1764612949.09174,9214.34444598961,2923.25298623093
01-Dec-2025 18:15:49,1764612949.59174,9213.19567207588,2923.18847216521
01-Dec-2025 18:15:50,1764612950.09174,9212.04704231807,2923.12288422158
01-Dec-2025 18:15:50,1764612950.59174,9210.89837230533,2923.05621152395
01-Dec-2025 18:15:51,1764612951.09174,9209.74984721002,2922.98846439905
01-Dec-2025 18:15:51,1764612951.59174,9208.60128267381,2922.91963164591
01-Dec-2025 18:15:52,1764612952.09174,9207.45286395747,2922.84972400629
01-Dec-2025 18:15:52,1764612952.59174,9206.30440661483,2922.77872986484
01-Dec-2025 18:15:53,1764612953.09174,9205.15600346675,2922.70665445556
01-Dec-2025 18:15:53,1764612953.59174,9204.00774738756,2922.63350340566
01-Dec-2025 18:15:54,1764612954.09174,9202.85945402749,2922.55926462344
01-Dec-2025 18:15:54,1764612954.59174,9201.71130849953,2922.48394965397
01-Dec-2025 18:15:55,1764612955.09174,9200.56312650651,2922.40754608021
01-Dec-2025 18:15:55,1764612955.59174,9199.41509324894,2922.33006586374
01-Dec-2025 18:15:56,1764612956.09174,9198.26702434364,2922.25149617165
01-Dec-2025 18:15:56,1764612956.59174,9197.1190125817,2922.17184284856
01-Dec-2025 18:15:57,1764612957.09174,9195.97115087583,2922.09111217908
01-Dec-2025 18:15:57,1764612957.59174,9194.82325473141,2922.00929071664
01-Dec-2025 18:15:58,1764612958.09174,9193.67550940762,2921.92639136402
01-Dec-2025 18:15:58,1764612958.59174,9192.52773063819,2921.84240046276
01-Dec-2025 18:15:59,1764612959.09174,9191.38010345423,2921.75733112832
01-Dec-2025 18:15:59,1764612959.59174,9190.23244364416,2921.67116937626
01-Dec-2025 18:16:00,1764612960.09174,9189.0848439669,2921.58392166325
01-Dec-2025 18:16:00,1764612960.59174,9187.93739719825,2921.49559481866
01-Dec-2025 18:16:01,1764612961.09174,9186.78991901549,2921.40617424262
01-Dec-2025 18:16:01,1764612961.59174,9185.64259457709,2921.31567404003
01-Dec-2025 18:16:02,1764612962.09174,9184.49523968471,2921.22407933088
01-Dec-2025 18:16:02,1764612962.59174,9183.34803930312,2921.13140445509
01-Dec-2025 18:16:03,1764612963.09174,9182.20080928917,2921.03763420613
01-Dec-2025 18:16:03,1764612963.59174,9181.05364236919,2920.94277565401
01-Dec-2025 18:16:04,1764612964.09174,9179.90663128434,2920.84683624242
01-Dec-2025 18:16:04,1764612964.59174,9178.75959178323,2920.74980014731
01-Dec-2025 18:16:05,1764612965.09174,9177.61270895428,2920.65168270118
01-Dec-2025 18:16:05,1764612965.59174,9176.4657986713,2920.55246779981
01-Dec-2025 18:16:06,1764612966.09174,9175.31904582851,2920.45217101029
01-Dec-2025 18:16:06,1764612966.59174,9174.17226635515,2920.35077590136
01-Dec-2025 18:16:07,1764612967.09174,9173.02564519429,2920.24829843801
01-Dec-2025 18:16:07,1764612967.59174,9171.8789982972,2920.14472183873
01-Dec-2025 18:16:08,1764612968.09174,9170.73241824094,2920.04005389358
01-Dec-2025 18:16:08,1764612968.59174,9169.5859977889,2919.934302885
01-Dec-2025 18:16:09,1764612969.09174,9168.4395528908,2919.82745148199
01-Dec-2025 18:16:09,1764612969.59174,9167.29326836613,2919.71951648141
01-Dec-2025 18:16:10,1764612970.09174,9166.14696022137,2919.61048022474
01-Dec-2025 18:16:10,1764612970.59174,9165.00081332388,2919.500359908
01-Dec-2025 18:16:11,1764612971.09174,9163.85464370226,2919.38913752162
01-Dec-2025 18:16:11,1764612971.59174,9162.70854389636,2919.27682147138
01-Dec-2025 18:16:12,1764612972.09174,9161.56260663186,2919.16342065758
01-Dec-2025 18:16:12,1764612972.59174,9160.41664793642,2919.04891651983
01-Dec-2025 18:16:13,1764612973.09174,9159.27085255296,2918.93332708745
01-Dec-2025 18:16:13,1764612973.59174,9158.12503656679,2918.81663347203
01-Dec-2025 18:16:14,1764612974.09174,9156.97938476765,2918.69885410327
01-Dec-2025 18:16:14,1764612974.59174,9155.83371326415,2918.57996974101
01-Dec-2025 18:16:15,1764612975.09174,9154.6881145578,2918.45998940803
01-Dec-2025 18:16:15,1764612975.59174,9153.54268133346,2918.33892262382
01-Dec-2025 18:16:16,1764612976.09174,9152.39722970204,2918.21674959607
01-Dec-2025 18:16:16,1764612976.59174,9151.25194432478,2918.09348958915
01-Dec-2025 18:16:17,1764612977.09174,9150.10664137062,2917.96912248224
01-Dec-2025 18:16:17,1764612977.59174,9148.96150558167,2917.84366796548
01-Dec-2025 18:16:18,1764612978.09174,9147.81635304694,2917.71710549302
01-Dec-2025 18:16:18,1764612978.59174,9146.67127633101,2917.58944477853
01-Dec-2025 18:16:19,1764612979.09174,9145.52636811229,2917.4606959864
01-Dec-2025 18:16:19,1764612979.59174,9144.38144437886,2917.33083794415
01-Dec-2025 18:16:20,1764612980.09174,9143.23668991582,2917.19989129949
01-Dec-2025 18:16:20,1764612980.59174,9142.09192094372,2917.06783467245
01-Dec-2025 18:16:21,1764612981.09174,9140.94732201569,2916.93468891916
01-Dec-2025 18:16:21,1764612981.59174,9139.80270941207,2916.80043233051
